
Image Name                     PID Session Name        Session#    Mem Usage
MicrosoftEdgeCP.exe          23892 Console                    1     25,536 K
MicrosoftEdgeCP.exe          20292 Console                    1     25,924 K
audiodg.exe                  16212 Services                   0     18,016 K
svchost.exe                  25276 Services                   0      7,504 K
SearchProtocolHost.exe        5788 Console                    1      7,524 K
SearchFilterHost.exe         23460 Services                   0      9,332 K
svchost.exe                  25144 Services                   0      7,352 K
RuntimeBroker.exe            13304 Console                    1     20,620 K
SearchProtocolHost.exe        8604 Services                   0     12,976 K
WmiPrvSE.exe                 23396 Services                   0     15,096 K
javaw.exe                    15936 Console                    1    128,500 K
cmd.exe                      22884 Console                    1      3,264 K
conhost.exe                  18328 Console                    1     13,848 K
tasklist.exe                 19004 Console                    1      7,516 K
