
Image Name                     PID Session Name        Session#    Mem Usage
DDVCollectorSvcApi.exe       16320 Services                   0      4,180 K
RuntimeBroker.exe             5084 Console                    1      6,828 K
svchost.exe                  12640 Services                   0      7,624 K
svchost.exe                  17420 Services                   0      5,392 K
SettingSyncHost.exe          18516 Console                    1      2,568 K
OfficeHubTaskHost.exe        19244 Console                    1     11,944 K
RemindersServer.exe          19464 Console                    1      7,812 K
RuntimeBroker.exe            16868 Console                    1      6,268 K
dllhost.exe                  21056 Services                   0      7,508 K
Microsoft.Photos.exe         21032 Console                    1     25,848 K
RuntimeBroker.exe            18036 Console                    1     25,992 K
WinStore.App.exe              5376 Console                    1     32,928 K
RuntimeBroker.exe            18536 Console                    1     15,584 K
SystemSettings.exe           18448 Console                    1     43,596 K
Calculator.exe               16024 Console                    1     22,484 K
RuntimeBroker.exe            12180 Console                    1      4,588 K
svchost.exe                   5564 Services                   0      5,604 K
svchost.exe                   1148 Services                   0      6,036 K
LockApp.exe                  16824 Console                    1     30,516 K
RuntimeBroker.exe            19036 Console                    1     21,588 K
svchost.exe                  16636 Services                   0      5,964 K
FileCoAuth.exe                7880 Console                    1      9,384 K
PickerHost.exe                1444 Console                    1     11,108 K
explorer.exe                 20276 Console                    1     43,472 K
Apowersoft Online Launche    12324 Console                    1     32,784 K
Online Video Converter.ex    10792 Console                    1     29,084 K
svchost.exe                   4224 Console                    1      4,392 K
svchost.exe                  19504 Console                    1      6,968 K
HxOutlook.exe                19528 Console                    1     70,012 K
HxTsr.exe                     7712 Console                    1     30,672 K
RuntimeBroker.exe            19552 Console                    1     10,816 K
svchost.exe                  20924 Services                   0     13,208 K
McVulCtr.exe                 20236 Services                   0     12,736 K
taskhostw.exe                24140 Console                    1     17,024 K
MCVULA~1.EXE                 13228 Console                    1      7,740 K
svchost.exe                  11672 Services                   0      5,412 K
Video.UI.exe                  4972 Console                    1     33,376 K
realdownloader264.exe        18412 Console                    1      3,708 K
RuntimeBroker.exe            23292 Console                    1      6,232 K
chrome.exe                   18696 Console                    1     12,308 K
MicrosoftEdge.exe            24636 Console                    1     84,196 K
browser_broker.exe           21636 Console                    1     18,544 K
RuntimeBroker.exe            18224 Console                    1     27,608 K
MicrosoftEdgeCP.exe           7288 Console                    1     20,404 K
MicrosoftEdgeCP.exe          18032 Console                    1     62,708 K
smartscreen.exe              16952 Console                    1     29,412 K
realsched.exe                24876 Console                    1      1,064 K
MicrosoftEdgeCP.exe          16408 Console                    1    286,896 K
McUICnt.exe                   3904 Console                    1        744 K
svchost.exe                  20172 Services                   0      6,188 K
svchost.exe                  11336 Services                   0      4,632 K
DellUpTray.exe               24720 Console                    1     39,024 K
MicrosoftEdgeCP.exe          12648 Console                    1     84,856 K
OfficeClickToRun.exe         14476 Services                   0     33,912 K
AppVShNotify.exe              9168 Services                   0      5,900 K
AppVShNotify.exe              2160 Console                    1      7,156 K
SearchIndexer.exe            19644 Services                   0     46,936 K
MicrosoftEdgeCP.exe          23892 Console                    1     22,484 K
MicrosoftEdgeCP.exe          20292 Console                    1     22,940 K
idea64.exe                    1828 Console                    1  1,041,624 K
fsnotifier64.exe              1528 Console                    1      2,948 K
conhost.exe                  10328 Console                    1      5,932 K
java.exe                      9488 Console                    1     83,140 K
conhost.exe                  22964 Console                    1      7,524 K
backgroundTaskHost.exe       20104 Console                    1     29,572 K
RuntimeBroker.exe            20036 Console                    1     19,152 K
SearchProtocolHost.exe       21488 Services                   0     10,612 K
svchost.exe                  14348 Services                   0      7,532 K
SearchFilterHost.exe         11980 Services                   0      9,412 K
java.exe                     12880 Console                    1     60,932 K
java.exe                     23204 Console                    1     76,712 K
conhost.exe                   2988 Console                    1      9,724 K
conhost.exe                   3360 Console                    1      9,728 K
WmiPrvSE.exe                 25416 Services                   0      9,532 K
cmd.exe                      17272 Console                    1      4,328 K
conhost.exe                  22248 Console                    1     13,888 K
tasklist.exe                 23468 Console                    1      7,804 K
